Model,Predictors,R²,Adj. R²,ΔR²
Model 1,Usage,0.0013729681425823648,0.001310914639080396,0.0013729681425823648
Model 2,Usage + Cap + Ethics,0.09574681646010208,0.0955782278359879,0.09437384831751972
Model 3,All,0.0978410550016855,0.0976167768301508,0.0020942385415834153
